empid,fname,lname,gender,email,doj,age,salary,deptid
218791,Aaron,Price,M,aaron.price@bp.com,02/10/69,48,54402,2
134841,Donna,Brown,F,donna.brown@aol.com,9/14/1983,34,129836,2
726264,Carl,Collins,M,carl.collins@yahoo.c,12/22/1973,44,162159,2
766610,Joyce,Jenkins,F,joyce.jenkins@aol.co,8/22/1961,56,119321,4
923947,Mary,Bryant,F,mary.bryant@verizon.,6/21/1962,55,155442,4
227922,Amanda,Hughes,F,amanda.hughes@rediff,7/29/1982,35,114257,4
265813,Jack,Campbell,M,jack.campbell@gmail.,01/04/85,33,186280,4
247137,Alan,Rivera,M,alan.rivera@apple.co,12/11/78,39,154810,4
407061,Elizabeth,Jackson,F,elizabeth.jackson@ao,8/15/1964,53,85420,4
226714,Nancy,Davis,F,nancy.davis@ibm.com,11/14/1983,34,94986,4
702813,Ernest,Martinez,M,ernest.martinez@gmai,11/09/89,28,172098,3
524896,Judy,Hernandez,F,judy.hernandez@gmail,3/25/1961,56,133332,3
363065,Nancy,Jones,F,nancy.jones@gmail.co,11/10/93,24,61924,3
879753,Pamela,Wright,F,pamela.wright@aol.co,4/14/1996,21,149262,3
958326,Larry,Miller,M,larry.miller@shell.c,10/31/1988,29,97904,3
447813,Ann,Coleman,F,ann.coleman@ibm.com,05/11/89,28,130014,4
525955,Judy,Gonzales,F,judy.gonzales@gmail.,6/17/1959,58,149575,2
818384,Peter,Washington,M,peter.washington@bp.,11/06/82,35,173226,2
971640,Clarence,Ross,M,clarence.ross@apple.,12/13/1960,57,165272,2
253573,Sharon,Lopez,F,sharon.lopez@gmail.c,05/04/91,26,190139,2
904898,Ann,Cooper,F,ann.cooper@exxonmobi,12/25/1992,25,182521,2
515103,Anne,Perez,F,anne.perez@sbcglobal,05/05/58,59,114426,2
491943,Nancy,Howard,F,nancy.howard@gmail.c,05/05/61,56,101553,2
750173,Antonio,Roberts,M,antonio.roberts@hotm,8/27/1995,22,181646,2
687017,Frances,Watson,F,frances.watson@outlo,1/30/1961,57,46945,2
241882,Debra,Wood,F,debra.wood@hotmail.c,10/30/1969,48,84318,2
758872,Henry,Jenkins,M,henry.jenkins@hotmai,11/06/84,33,102384,2
940922,Melissa,Butler,F,melissa.butler@hotma,11/14/1994,23,167631,2
917937,Todd,Hall,M,todd.hall@yahoo.com,8/31/1991,26,163560,2
917395,Christopher,Nelson,M,christopher.nelson@a,3/29/1960,57,190765,2
183071,Andrea,Garcia,F,andrea.garcia@aol.co,07/06/85,32,54179,2
316110,Jeremy,Sanchez,M,jeremy.sanchez@hotma,02/05/65,53,178847,2
293459,Steven,Phillips,M,steven.phillips@hotm,09/12/86,31,90108,2
732017,Cynthia,Ramirez,F,cynthia.ramirez@btin,9/22/1982,35,90531,2
915638,Jason,Anderson,M,jason.anderson@gmail,01/03/74,44,76636,2
478003,Cynthia,White,F,cynthia.white@gmail.,6/15/1963,54,186200,2
951225,Margaret,Brooks,F,margaret.brooks@gmai,6/27/1992,25,43867,2
883936,Douglas,Flores,M,douglas.flores@gmail,4/21/1986,31,181793,2
528673,Paul,Watson,M,paul.watson@hotmail.,03/09/59,58,145235,2
765850,Linda,Moore,F,linda.moore@gmail.co,8/18/1991,26,113256,2
262382,Cheryl,Miller,F,cheryl.miller@ntlwor,4/20/1985,32,64143,2
870820,Martha,Washington,F,martha.washington@ao,3/28/1991,26,116629,2
806955,William,Hernandez,M,william.hernandez@re,7/22/1967,50,73734,2
325319,Carolyn,Price,F,carolyn.price@yahoo.,5/30/1976,41,48736,2
623253,Ruby,Stewart,F,ruby.stewart@gmail.c,10/23/1968,49,174774,2
225925,Paul,Cooper,M,paul.cooper@gmail.co,08/12/91,26,73526,2
761821,Ernest,Washington,M,ernest.washington@ms,10/28/1984,33,176675,2
400173,Dorothy,Edwards,F,dorothy.edwards@hotm,1/19/1984,34,179017,2
802554,Ryan,Alexander,M,ryan.alexander@shell,08/01/93,24,106628,2
476433,Lillian,Mitchell,F,lillian.mitchell@sha,10/23/1974,43,149878,2
533952,Kelly,Adams,F,kelly.adams@bp.com,5/23/1975,42,51878,2
623929,Jimmy,Howard,M,jimmy.howard@yahoo.c,11/27/1966,51,120631,2
844177,Margaret,Allen,F,margaret.allen@gmail,09/08/81,36,180107,3
212893,Janet,Henderson,F,janet.henderson@ntlw,12/24/1979,38,114481,3
185032,Eugene,Perez,M,eugene.perez@exxonmo,10/06/79,38,122950,3
867084,Deborah,Smith,F,deborah.smith@yahoo.,10/31/1977,40,52767,3
969964,Janice,Parker,F,janice.parker@yahoo.,01/12/80,38,147641,3
158666,Rebecca,Stewart,F,rebecca.stewart@gmai,08/11/61,56,160043,3
489424,Phillip,White,M,phillip.white@gmail.,03/04/78,39,181774,3
639892,Jose,Hill,M,jose.hill@hotmail.co,10/08/94,23,129774,3
704709,Harold,Nelson,M,harold.nelson@gmail.,12/24/1984,33,156194,3
461593,Nicole,Ward,F,nicole.ward@yahoo.co,12/12/64,53,95673,3
392491,Theresa,Murphy,F,theresa.murphy@gmail,12/30/1987,30,51015,3
495141,Tammy,Young,F,tammy.young@comcast.,3/22/1979,38,93650,3
